Model,Metric,Our_Result,Paper_Result,Difference
GAT,Accuracy,0.9973799126637555,0.954,0.043379912663755515
GAT,F1_Score,0.4,0.954,-0.5539999999999999
GAT,Precision,0.4,0.956,-0.5559999999999999
GAT,Recall,0.4,0.952,-0.5519999999999999
GCN,Accuracy,0.9973799126637555,0.918,0.07937991266375544
GCN,F1_Score,0.4,0.919,-0.519
GCN,Precision,0.4,0.921,-0.521
GCN,Recall,0.4,0.917,-0.517
GraphSAGE,Accuracy,0.9973799126637555,0.938,0.05937991266375553
GraphSAGE,F1_Score,0.4,0.931,-0.531
GraphSAGE,Precision,0.4,0.934,-0.534
GraphSAGE,Recall,0.4,0.928,-0.528
